French,English
Démone,Demon
Ange,Angel
Loup-garou,Werewolf
Fantôme,Ghost
Sirène,Siren
Étrangère,Alien
Vampire,Vampire
Zpmbie,Zombie
Spectre,Wraith
Momies,Mummies
Sorcière,Witch
Spectre,Specters
Faucheuse,Grim Reaper
Monstre De Frankenstein,Frankenstein Monster
Griffon,Griffin
Centauresse,Centaur
Phénix,Phoenix
Serpent de mer,Sea Serpent
Dragonne,Dragon
Licorne,Unicorn
Hydre,Hydra
Cyclope,Cyclops
Naines,Gnomes
Elfes,Elves
Lutin,Pixie
Démone,Fiend
Monstre,Monster
Colossale,Colossal
Changeant,Changeling
Sphinx,Sphinx
Serpent,Snake
Louves,Wolves
Lapine,Rabbit
Hamster,Hamster
Chattes,Cats
Chiennes,Dogs
Furet,Ferret
Jument,Horse
Lionne,Lion
Bétail,Cattle
Tigresse,Tiger
Insectes,Insects
Dinosaure,Dinosaur
Ourses,Bears
Raton Laveur,Raccon
Poulette,Chicken
Chèvre,Goat
Narval,Narwhal
Vertébré,Vertebrate
Turtles,Tortues
Brebis,Sheep
Biche,Deer
Koala,Koala
Poisson-blob,Blobfish
Reptiles,Reptiles
Grenouilles,Frogs
Capybara,Capybara
Requins,Sharks
Axolotl,Axolotl
Léopard,Leopard
Panda Roux,Red Panda
Girafe,Giraffe
Gorilles,Gorillas
Guépard,Cheetah
Loutres,Otters
Ânesse,Donkey
Accord,Chordate
Suricate,Meerkat
Hérissonne,Hedgehog
Paresseux,Sloths
Hippopotame,Hippopotamus
lynx,Lynxes
Ornithorynque,Platypus
Écureuil,Squirrel
Wombasts,Wombats
Hyènes,Hyenas
Chameau,Camel
Lézarde,Lizard
Poisson,Fish
Rhinocéros,Rhinoceros
Kangourou,Kangaroo
Truie,Pig
Lama,Llama
Panda,Panda
Bufflonne,Buffalo
Bison,Bison
Loutre,Otter
Castor,Beaver
Batte,Bat
Souris,Mouse
Rate,Rat
Chouette,Owl
Colibri,Hummingbird
Cygne,Swan
Iguane,Iguana
Corbeau,Crow
Dauphine,Dolphin
Hippocampe,Seahorse
Raie Pastenague,Stingray
Méduse,Jellyfish
